L1	L2	D'	LOD	r^2	CIlow	CIhi	Dist	T-int
rs6893843	rs17061510	0.425	1.13	0.05	0.12	0.67	70452	-
rs214115	rs17061510	0.047	0.03	0.001	0.0	0.3	67075	-
rs300193	rs17061510	0.013	0.0	0.0	0.0	0.55	54281	-
rs1862166	rs17061510	0.359	2.19	0.077	0.16	0.52	40011	-
rs2560370	rs17061510	0.515	2.75	0.105	0.27	0.69	39881	-
rs2544955	rs17061510	0.005	0.0	0.0	0.0	0.55	38799	-
rs1154758	rs17061510	0.324	1.02	0.035	0.08	0.54	34021	-
rs13159031	rs17061510	0.013	0.0	0.0	0.0	0.43	31324	-
rs2964380	rs17061510	0.396	2.9	0.103	0.21	0.55	28317	-
rs2913578	rs17061510	0.366	1.48	0.055	0.13	0.57	23530	-
rs300206	rs17061510	0.197	0.05	0.001	0.02	0.69	18850	-
rs182462	rs17061510	0.427	1.69	0.067	0.17	0.62	18079	-
rs300209	rs17061510	0.516	2.31	0.075	0.25	0.71	16000	-
rs300218	rs17061510	0.414	2.78	0.101	0.21	0.58	14099	-
rs10515854	rs17061510	1.0	0.8	0.017	0.12	0.99	13182	-
rs982228	rs17061510	0.367	1.97	0.062	0.15	0.56	12033	-
rs12186371	rs17061510	1.0	0.56	0.03	0.09	0.98	2267	-
rs300237	rs17061510	1.0	1.1	0.041	0.18	0.99	898	63.43
rs17061510	rs17061510	1	1	1	1	1	1
rs17061510	rs300211	1.0	16.93	0.41	0.89	1.0	880	81.19
rs17061510	rs2901732	1.0	0.4	0.028	0.07	0.98	1261	-
rs17061510	rs11742012	1.0	2.74	0.055	0.49	1.0	3280	-
rs17061510	rs300213	1.0	4.29	0.111	0.65	1.0	8151	-
rs17061510	rs300214	1.0	3.4	0.072	0.57	1.0	8304	-
rs17061510	rs2161132	0.235	0.42	0.024	0.03	0.48	10237	-
rs17061510	rs6873695	0.931	14.8	0.403	0.79	0.98	18014	-
rs17061510	rs734442	1.0	27.19	0.706	0.92	1.0	18304	-
rs17061510	rs4869033	0.11	0.04	0.002	0.01	0.51	28244	-
rs17061510	rs10746556	0.079	0.14	0.006	0.0	0.25	55954	-
rs17061510	rs10515857	0.535	0.53	0.014	0.08	0.83	59092	-
rs17061510	rs17061586	0.448	1.9	0.083	0.19	0.65	61059	-
rs17061510	rs1363150	0.409	1.63	0.072	0.15	0.61	62436	-
rs17061510	rs13186063	0.552	5.9	0.215	0.38	0.69	75742	-
rs17061510	rs1025014	0.472	2.01	0.086	0.21	0.67	79077	-
rs17061510	rs9313968	0.763	7.48	0.243	0.57	0.88	81234	-
rs17061510	rs13172782	0.552	5.9	0.215	0.38	0.69	85219	-
rs17061510	rs4307107	0.72	7.62	0.259	0.54	0.84	90467	-
rs17061510	rs299304	0.405	1.67	0.068	0.15	0.61	95851	-
rs17061510	rs427056	0.536	6.01	0.208	0.37	0.67	98888	-
rs17061510	rs2069347	0.615	5.61	0.189	0.42	0.76	116324	-
rs17061510	rs2303076	0.473	3.73	0.131	0.28	0.63	136779	-
rs17061510	rs299287	0.183	0.74	0.03	0.03	0.34	142548	-
rs17061510	rs299284	0.318	0.74	0.034	0.06	0.56	145779	-
rs17061510	rs299283	0.183	0.74	0.03	0.03	0.34	145985	-
rs17061510	rs299290	0.215	0.9	0.036	0.05	0.38	151645	-
rs17061510	rs299295	0.228	1.01	0.041	0.05	0.39	158845	-
rs17061510	rs11748030	0.347	1.6	0.064	0.13	0.54	165542	-
rs17061510	rs4599554	0.212	0.51	0.023	0.03	0.43	168728	-
rs17061510	rs10038157	0.153	0.2	0.007	0.01	0.43	173915	-
rs17061510	rs10515861	0.564	1.91	0.071	0.24	0.77	179876	-
rs17061510	rs7722729	0.192	0.51	0.019	0.02	0.4	191565	-
rs17061510	rs17061797	0.182	0.57	0.017	0.02	0.38	193469	-
rs17061510	rs4869089	0.036	0.01	0.0	0.0	0.33	193537	-
rs17061510	rs7716203	0.094	0.09	0.003	0.0	0.35	197013	-
rs17061510	rs729352	0.384	0.73	0.025	0.07	0.65	198344	-
