L1	L2	D'	LOD	r^2	CIlow	CIhi	Dist	T-int
rs6893843	rs12657750	0.014	0.0	0.0	-0.01	0.25	307805	-
rs214115	rs12657750	0.295	0.02	0.001	0.03	0.95	304428	-
rs300193	rs12657750	0.011	0.0	0.0	-0.01	0.28	291634	-
rs1862166	rs12657750	0.384	0.79	0.018	0.08	0.66	277364	-
rs2560370	rs12657750	0.564	1.04	0.026	0.14	0.81	277234	-
rs2544955	rs12657750	0.009	0.0	0.0	-0.01	0.28	276152	-
rs1154758	rs12657750	0.542	0.88	0.021	0.12	0.8	271374	-
rs13159031	rs12657750	0.175	0.68	0.025	0.03	0.4	268677	-
rs2964380	rs12657750	0.168	0.15	0.004	0.01	0.5	265670	-
rs2913578	rs12657750	0.339	0.07	0.002	0.03	0.85	260883	-
rs300206	rs12657750	0.762	0.09	0.004	0.04	0.97	256203	-
rs182462	rs12657750	0.226	0.15	0.004	0.02	0.61	255432	-
rs300209	rs12657750	0.472	0.55	0.013	0.07	0.78	253353	-
rs300218	rs12657750	0.191	0.16	0.004	0.02	0.54	251452	-
rs10515854	rs12657750	0.077	0.06	0.003	0.0	0.42	250535	-
rs982228	rs12657750	0.419	0.12	0.003	0.04	0.86	249386	-
rs12186371	rs12657750	0.246	1.18	0.05	0.07	0.46	239620	-
rs300237	rs12657750	0.286	1.47	0.073	0.1	0.49	238251	-
rs17061510	rs12657750	0.37	0.24	0.005	0.04	0.74	237353	-
rs300211	rs12657750	0.111	0.03	0.001	0.01	0.57	236473	-
rs2901732	rs12657750	0.262	1.08	0.052	0.07	0.49	236092	-
rs11742012	rs12657750	1.0	0.41	0.011	0.07	0.98	234073	-
rs300213	rs12657750	0.157	0.2	0.008	0.01	0.45	229202	-
rs300214	rs12657750	0.339	0.07	0.002	0.03	0.85	229049	-
rs2161132	rs12657750	0.324	1.05	0.051	0.09	0.56	227116	-
rs6873695	rs12657750	0.004	0.0	0.0	0.0	0.54	219339	-
rs734442	rs12657750	0.433	0.24	0.005	0.04	0.8	219049	-
rs4869033	rs12657750	0.441	1.22	0.047	0.13	0.69	209109	-
rs10746556	rs12657750	0.407	0.96	0.034	0.1	0.67	181399	-
rs10515857	rs12657750	1.0	0.32	0.01	0.06	0.98	178261	-
rs17061586	rs12657750	0.242	0.91	0.029	0.06	0.47	176294	-
rs1363150	rs12657750	0.298	1.24	0.043	0.09	0.53	174917	-
rs13186063	rs12657750	1.0	1.22	0.026	0.2	1.0	161611	-
rs1025014	rs12657750	0.253	1.05	0.035	0.07	0.48	158276	-
rs9313968	rs12657750	0.174	0.08	0.003	0.01	0.59	156119	-
rs13172782	rs12657750	1.0	1.22	0.026	0.2	1.0	152134	-
rs4307107	rs12657750	0.047	0.0	0.0	0.01	0.59	146886	-
rs299304	rs12657750	0.242	0.91	0.029	0.06	0.47	141502	-
rs427056	rs12657750	1.0	1.26	0.026	0.21	1.0	138465	-
rs2069347	rs12657750	0.285	0.27	0.008	0.03	0.64	121029	-
rs2303076	rs12657750	1.0	1.19	0.021	0.19	1.0	100574	-
rs299287	rs12657750	0.534	1.81	0.066	0.21	0.76	94805	-
rs299284	rs12657750	0.331	1.81	0.067	0.13	0.54	91574	-
rs299283	rs12657750	0.534	1.81	0.066	0.21	0.76	91368	-
rs299290	rs12657750	0.303	0.7	0.025	0.06	0.57	85708	-
rs299295	rs12657750	0.222	0.39	0.013	0.03	0.5	78508	-
rs11748030	rs12657750	0.216	0.04	0.001	0.02	0.76	71811	-
rs4599554	rs12657750	0.547	2.99	0.12	0.28	0.75	68625	-
rs10038157	rs12657750	1.0	0.36	0.011	0.07	0.98	63438	-
rs10515861	rs12657750	0.359	0.24	0.006	0.04	0.74	57477	-
rs7722729	rs12657750	0.091	0.1	0.003	0.0	0.37	45788	-
rs17061797	rs12657750	1.0	0.72	0.019	0.11	0.99	43884	-
rs4869089	rs12657750	1.0	1.99	0.067	0.36	1.0	43816	-
rs7716203	rs12657750	1.0	3.38	0.101	0.57	1.0	40340	-
rs729352	rs12657750	0.421	1.07	0.038	0.11	0.68	39009	-
rs1496864	rs12657750	0.803	3.85	0.135	0.48	0.93	30597	-
rs7700282	rs12657750	1.0	0.96	0.015	0.15	0.99	29913	-
rs7722476	rs12657750	1.0	3.29	0.112	0.56	1.0	29763	-
rs4276433	rs12657750	1.0	6.5	0.209	0.74	1.0	21956	-
rs919258	rs12657750	1.0	0.38	0.008	0.07	0.98	18468	-
rs297961	rs12657750	1.0	1.22	0.014	0.2	1.0	11072	-
rs17061883	rs12657750	1.0	20.54	0.94	0.88	1.0	9941	-
rs297966	rs12657750	1.0	0.38	0.008	0.07	0.98	8512	-
rs297968	rs12657750	1.0	6.36	0.205	0.73	1.0	7209	-
rs10074453	rs12657750	1.0	12.45	0.456	0.82	1.0	6431	-
rs4301242	rs12657750	1.0	0.38	0.008	0.07	0.98	3269	-
rs12654614	rs12657750	1.0	18.69	0.88	0.86	1.0	2569	58.47
rs12657750	rs12657750	1	1	1	1	1	1
rs12657750	rs177075	0.601	0.34	0.007	0.06	0.89	1389	32.04
rs12657750	rs2217265	0.686	1.43	0.052	0.22	0.89	1750	-
rs12657750	rs294598	0.718	6.19	0.252	0.48	0.87	3539	-
rs12657750	rs294597	1.0	2.57	0.036	0.47	1.0	3732	-
rs12657750	rs297951	0.361	0.5	0.017	0.05	0.67	6419	-
rs12657750	rs1433779	0.715	0.04	0.002	0.04	0.96	6839	-
rs12657750	rs294594	0.648	5.09	0.205	0.41	0.82	7347	-
rs12657750	rs985254	0.399	0.49	0.018	0.06	0.72	9127	-
rs12657750	rs10037424	0.715	0.04	0.002	0.04	0.96	9386	-
rs12657750	rs294588	0.419	0.78	0.027	0.09	0.7	10291	-
rs12657750	rs294587	1.0	2.32	0.037	0.43	1.0	10834	-
rs12657750	rs6862542	1.0	2.51	0.045	0.46	1.0	20125	-
rs12657750	rs294580	1.0	2.94	0.042	0.52	1.0	25826	-
rs12657750	rs6876181	0.014	0.0	0.0	0.0	0.39	33111	-
rs12657750	rs1432655	0.509	0.47	0.018	0.07	0.82	40558	-
rs12657750	rs1433781	0.509	0.47	0.018	0.07	0.82	45785	-
rs12657750	rs17668553	1.0	0.45	0.005	0.07	0.98	49640	-
rs12657750	rs159199	1.0	2.73	0.053	0.49	1.0	52873	-
rs12657750	rs292410	0.329	0.27	0.013	0.03	0.69	55161	-
rs12657750	rs6878378	0.488	2.51	0.116	0.23	0.69	57720	-
rs12657750	rs3849745	0.259	0.27	0.011	0.03	0.6	70377	-
rs12657750	rs6880977	0.259	0.27	0.011	0.03	0.6	70899	-
rs12657750	rs3910253	1.0	4.37	0.103	0.64	1.0	73028	-
rs12657750	rs10070913	0.547	4.81	0.24	0.33	0.72	75024	-
rs12657750	rs3910251	1.0	4.8	0.112	0.67	1.0	78297	-
rs12657750	rs693845	1.0	4.8	0.112	0.67	1.0	79718	-
rs12657750	rs158836	1.0	1.54	0.035	0.27	1.0	81027	-
rs12657750	rs158842	0.149	0.07	0.003	0.01	0.56	84656	-
rs12657750	rs158845	0.257	0.19	0.009	0.02	0.63	85374	-
rs12657750	rs166078	0.149	0.07	0.003	0.01	0.56	86132	-
rs12657750	rs149402	1.0	2.02	0.037	0.37	1.0	86351	-
rs12657750	rs566509	1.0	0.68	0.008	0.1	0.99	90475	-
rs12657750	rs158850	1.0	1.61	0.031	0.28	1.0	95308	-
rs12657750	rs6893725	0.409	1.71	0.085	0.16	0.63	95732	-
rs12657750	rs17062147	1.0	0.68	0.008	0.1	0.99	96805	-
rs12657750	rs158851	0.108	0.02	0.001	0.01	0.66	97442	-
rs12657750	rs158829	1.0	1.13	0.017	0.18	1.0	100745	-
rs12657750	rs537788	1.0	3.43	0.066	0.57	1.0	101581	-
rs12657750	rs424217	1.0	1.46	0.033	0.25	1.0	109618	-
rs12657750	rs509502	0.186	0.1	0.003	0.01	0.6	110166	-
rs12657750	rs292404	1.0	1.13	0.017	0.18	1.0	112456	-
rs12657750	rs292406	1.0	1.74	0.033	0.31	1.0	113875	-
rs12657750	rs3133041	1.0	0.96	0.018	0.15	0.99	115202	-
rs12657750	rs558968	0.092	0.03	0.001	0.01	0.53	121854	-
rs12657750	rs10057965	0.293	0.61	0.024	0.05	0.57	131584	-
rs12657750	rs531314	0.624	5.68	0.32	0.4	0.79	136396	-
rs12657750	rs489835	0.523	1.16	0.041	0.15	0.77	138577	-
