L1	L2	D'	LOD	r^2	CIlow	CIhi	Dist	T-int
rs6893843	rs7700282	0.266	1.1	0.049	0.07	0.47	277892	-
rs214115	rs7700282	1.0	0.81	0.024	0.13	0.99	274515	-
rs300193	rs7700282	0.407	0.12	0.003	0.04	0.86	261721	-
rs1862166	rs7700282	0.263	0.46	0.017	0.03	0.53	247451	-
rs2560370	rs7700282	0.222	0.23	0.008	0.02	0.54	247321	-
rs2544955	rs7700282	0.416	0.12	0.004	0.04	0.86	246239	-
rs1154758	rs7700282	0.212	0.18	0.006	0.02	0.56	241461	-
rs13159031	rs7700282	0.046	0.03	0.001	0.0	0.34	238764	-
rs2964380	rs7700282	0.231	0.38	0.014	0.03	0.5	235757	-
rs2913578	rs7700282	0.111	0.32	0.012	0.01	0.29	230970	-
rs300206	rs7700282	1.0	0.36	0.015	0.07	0.98	226290	-
rs182462	rs7700282	0.056	0.01	0.0	0.0	0.45	225519	-
rs300209	rs7700282	0.162	0.09	0.003	0.01	0.54	223440	-
rs300218	rs7700282	0.253	0.42	0.015	0.03	0.53	221539	-
rs10515854	rs7700282	0.222	0.02	0.0	0.03	0.85	220622	-
rs982228	rs7700282	0.178	0.73	0.028	0.03	0.35	219473	-
rs12186371	rs7700282	0.122	0.16	0.006	0.01	0.41	209707	-
rs300237	rs7700282	0.015	0.0	0.0	-0.01	0.28	208338	-
rs17061510	rs7700282	0.334	1.15	0.045	0.09	0.55	207440	-
rs300211	rs7700282	0.451	0.8	0.033	0.09	0.72	206560	-
rs2901732	rs7700282	0.153	0.22	0.009	0.01	0.44	206179	-
rs11742012	rs7700282	0.999	0.35	0.022	0.07	0.98	204160	-
rs300213	rs7700282	0.263	0.06	0.003	0.03	0.82	199289	-
rs300214	rs7700282	1.0	0.6	0.029	0.1	0.98	199136	-
rs2161132	rs7700282	0.309	1.99	0.089	0.13	0.47	197203	-
rs6873695	rs7700282	0.504	1.11	0.047	0.14	0.75	189426	-
rs734442	rs7700282	0.016	0.0	0.0	-0.01	0.26	189136	-
rs4869033	rs7700282	0.312	1.05	0.045	0.08	0.53	179196	-
rs10746556	rs7700282	0.364	1.21	0.052	0.11	0.58	151486	-
rs10515857	rs7700282	0.806	0.22	0.013	0.06	0.97	148348	-
rs17061586	rs7700282	0.407	3.71	0.16	0.23	0.56	146381	-
rs1363150	rs7700282	0.4	3.48	0.149	0.22	0.55	145004	-
rs13186063	rs7700282	0.622	0.52	0.019	0.08	0.9	131698	-
rs1025014	rs7700282	0.435	4.23	0.182	0.26	0.58	128363	-
